,Years,Region,Carrier,Value
0,Y0,reg1,Final_electricity,0.0
1,Y1,reg1,Final_electricity,0.0
2,Y2,reg1,Final_electricity,0.0
3,Y3,reg1,Final_electricity,0.0
4,Y4,reg1,Final_electricity,0.0
5,Y5,reg1,Final_electricity,0.0
6,Y6,reg1,Final_electricity,0.0
7,Y7,reg1,Final_electricity,9143309.631527543
8,Y8,reg1,Final_electricity,43071713.907681465
9,Y9,reg1,Final_electricity,127722734.21101248
10,Y10,reg1,Final_electricity,247732105.34647775
11,Y11,reg1,Final_electricity,436116804.42024446
12,Y0,reg2,Final_electricity,1644030855.868476
13,Y1,reg2,Final_electricity,1783894234.1512728
14,Y2,reg2,Final_electricity,1888300209.3115263
15,Y3,reg2,Final_electricity,2030656487.963326
16,Y4,reg2,Final_electricity,2169562496.57323
17,Y5,reg2,Final_electricity,2313166973.0317116
18,Y6,reg2,Final_electricity,2466107240.4901943
19,Y7,reg2,Final_electricity,2635473856.948676
20,Y8,reg2,Final_electricity,2840997593.5158687
21,Y9,reg2,Final_electricity,3060532346.974351
22,Y10,reg2,Final_electricity,3296067100.4328327
23,Y11,reg2,Final_electricity,3549601853.8913155
24,Y0,reg3,Final_electricity,701816395.0833906
25,Y1,reg3,Final_electricity,828453698.9920728
26,Y2,reg3,Final_electricity,914049652.5172877
27,Y3,reg3,Final_electricity,1127793170.179133
28,Y4,reg3,Final_electricity,1434972701.6995435
29,Y5,reg3,Final_electricity,1813870789.0035248
30,Y6,reg3,Final_electricity,2254908512.6395836
31,Y7,reg3,Final_electricity,2753848962.6706495
32,Y8,reg3,Final_electricity,3461012367.9731727
33,Y9,reg3,Final_electricity,4210140247.396411
34,Y10,reg3,Final_electricity,5020744226.716498
35,Y11,reg3,Final_electricity,5869860695.697769
